sequence	16S_rRNA_Count	metadata_NSTI
513de43781dc4c2831eb83b23940d66b	1	0.000101
51588a76b68ff3041e8b272256df5ae2	1	0.8397290000000001
51757b1a0a985640893725af5d87d350	1	0.210504
51ddb685cfb1775931489ebbd3eef6ca	1	0.00015
535696cecf56f03d3401d7d6dbe66d7b	1	0.00015
53729ba7429e5bd2fe96229b14452bdc	1	0.00015
538c01338d48c71522ac629b17a01c9d	2	0.054838
5437cb1c86c72638cbbc12896f88d1b1	1	0.00015
54a5af5112600a1faf06be268f95616e	1	15.754401999999999
54b4964000ad1631e547c46a828ed1a0	1	0.153478
54d098d009b89779530eaf43a1bb136a	6	0.034973000000000004
55937e5781c91185e27a91216008e4ca	1	0.131858
55ec4b057c122957d25013675512c73d	1	0.00015
5601f094afc823d75ccb34440645a99e	1	0.023339
56c98126dde3abb2d263088db55e12c8	1	0.00015
57b34afdff2e84fb9b0befd219edcb38	1	0.014688999999999999
5843abce35ad3457158a7eb2385ddd4d	5	0.000101
58946a0b64aa351fd8e7b97d02d6639d	1	0.00015
58d6cee566e26e231916ccc2093ae053	1	0.368159
59fefb91cc66ef6930b0201e4bf24cbb	2	0.00015
5a02c9985adcd7543dff8c846cff62a5	1	0.000101
5a165119cbd604e8c33d3ee6c82a45e2	1	0.062565
5ada68b9a081358e1a7d5f1d351e656a	1	0.00015
5b220f66423e4004eb3520bfae1f25d0	1	0.194272
5c82bad13c4ebd2ed1bd23a8c2e37fc5	1	0.00015
5decdad9c550489629ce441d32a69a1c	1	0.15437
5df503c1ddf8f3f4ac9e49e983e3d7fd	1	0.169848
626b8ee112be0ec208bb16445611d001	1	0.000101
62bf37c50994a06e6c8c93355ad1caa0	1	0.000101
636c27859c1ac0a7994ca8ed145d03fe	6	0.000101
6401660183a33dded59f163fc63aab4d	1	0.000101
648532aadbacef2c7f8f8468a6146fb2	2	0.00015
66a605fcdaa020dbdd6136f241ea79d9	1	0.115752
66fb1fc4317badb5dfaec2bf8e5055d7	1	0.163589
678424c0e69dd311d2b536cfd69a91a4	1	0.596109
67e23140639733766b7e127f50221289	1	0.124322
67f9c74eeea5a4609bd1d2fab66ad3cc	1	0.23041599999999998
684721318896ed01048f3502333c214d	1	0.000101
685ea779ee012329ec2a171f1823f8a8	1	0.00015
68c05655a58355526692d3a1f0968aff	1	0.00015
6967d97d0d19d82633e2d05305850f80	1	0.056401
699071a4a7ce68918e4cd93a61275ecd	4	0.000101
6a9b2745a31a3e5ae16682a323c28a4d	1	0.12601500000000002
6b82e6cb771d45d6c925405b66299d7f	3	0.00015
6be3ad080a12e28c46c9ca4f94710ac7	1	0.055764999999999995
6be678de197b54f9a04f6c984b91ef22	1	0.00015
6de4955c509e8f32f905760cad0beeae	1	0.000101
6edca9464612efff71d8f97299f01663	1	0.00015
6fea19332b7fb980e2124d0339c596c2	1	0.00015
6ffdeb862aed8aedda8a8624fa960c57	1	0.00015
7103ca740aeadee8bdf7cedaefac990b	7	0.01754
724c43ad3632cb8c5c6230c874551bd2	1	0.000101
726f76e9275bfa07ccb329dda324c58f	2	0.00015
7380cac260dd15a4cd713230b0807e01	1	0.00015
74106ca246bcf2da5c4f95b82aa6867a	1	0.00015
74c2326ccd0bc2bd9e0f23f15b79ea16	1	0.000101
75258a676bcd7e73c2437d6a2012d490	1	0.032895
752621a2dcf600f86357e9c2fa1fc985	1	0.014411000000000002
7595e123b71bdae8a8c1c28b7405a5c0	2	0.15013800000000002
76174505aef45f134d8068d5ad2c42aa	1	0.07530099999999999
77a517253ff10afeb78a37bc13d649a0	1	0.133198
79dcabe7f92f8cf2723b796dcd2f239f	1	0.00015
79e9e337b10e2d298bb1b3bde946782d	1	0.000102
7a5d5e6f85da7ca91daa2d803e8f9279	4	0.000101
7b9b46a7c3fb8b76b1c68911a9b56da1	1	0.151855
7c32a71dc5ccf3ba4fa0a681006cfef1	1	0.156251
7cdabbffaaa6cc6d9f478d91f312a8ee	1	0.00015
7dd981802694dec3ecdb61ee53805956	1	0.000101
7dd9c9124ec3f118a6cef1f0d422c011	1	0.198686
7e4d5b19d3213719048fe55dfad0da3a	1	0.12562
7e598ad34909a3fb8ff1623f1ede11a6	1	0.000101
7eedfc5c8d0d6b8852fabb20d52a8c5d	1	0.00015
7f2aa6f3481a4039dcc8d1b8be32beb7	1	0.020072
7f4909ae8d31a3995fa2c200c690a21f	1	0.000101
7f99061140cbf6c9081a204380efd8e1	1	0.18395999999999998
7fa8f515ee1ac5cb8b529b13e6a89790	1	0.000101
7fee9350277038eef98dee70b4190563	4	0.017450999999999998
80b20e907aa4fcf2309796bc303d151d	1	0.057553
81351ef6b4d49a3a6b2fc24745d70305	1	0.017497
8163d49042bbad8871a7aab8527c9a97	1	0.00015
816b94bcd935ca38afe71fd1e3c5356c	1	0.00015
816e266d71b9a9af9d3d74893dee443e	1	0.215486
81fad06bda8cf753d87288f1d080da88	1	0.340467
823698689031b0b9c2c5152f92ffc70f	6	0.095029
82e72255267397b777a1afd44ea22755	1	0.000101
839fafb762395fab1ba257442ec29e7f	4	0.00015
846cbaf603b77be035fe0cb61d14a23c	1	0.000101
84755bc954af6d3b39bb4c369e5992e7	2	0.199683
848587c4a03949500c5815bd6edb7b6e	1	0.00015
8659c05e82a2d1399cbc3fd26ab938e4	2	0.103047
867e71db0537674539934bf97db51bc0	2	0.620683
868528ca947bc57b69ffdf83e6b73bae	1	0.000101
868a4fe285b85fa1b8eb40071d5397be	1	0.000101
87899779aec8d38dfaf48d895cfe8021	1	0.00015
87a04eba5a3dc45f9e899d8ab4c050b4	1	0.000101
880968796af86b3d6270c228fe8e7026	1	0.00015
88b4862756df007aa0c6bc2ba049708b	2	0.00015
8992381f7d3d5af45d162e2f4b38d01b	5	0.000101
8b111e12f8f73205bac732c7479a97e8	1	0.000101
8bcc747f27b10bb3e1182fe530c7ed24	1	0.05611
8bf361e85f0f9dbff5b9d6951fdae8c6	1	0.00015
8c001c89f020a1b78b26ee21d1d56746	1	1.0103600000000001
8c43291754ba53fa1e206f0ac7a18772	1	0.00015
8cd2a871fab61bdea4ef23a295c371cf	1	0.090265
8da02c7114ba0d9ee40312926e037a8f	3	0.00015
8e934eb5aff8050158c19ac1f93d1d28	1	0.018131
8f0a7d866b4e5ebf1e34d0a44eb950a4	1	0.481417
903752a32299a5fac9505d192dc16466	1	0.017694
9079bfebcce01d4b5c758067b1208c31	1	0.000101
909755d7142ea53c7f61c97c3586f26c	1	0.000101
90d32ffe026535b392c0bad850f213c4	1	0.021828999999999998
9118606a87ac19f8d041da20f16f3236	1	0.000101
919764896275058362e55f0849d2b38b	1	0.032761
91d0b3b7c0329b9a164b6e04a181f1d6	1	0.105553
921966b15e5f1508e8650d053443c385	1	0.094062
94ca1389331a3a9230237844cfd545f6	1	0.000101
955280212814a2050dd2f640e10fc25d	1	0.040254000000000005
955d8fcbb35e8bc04c8df0c6aae34d34	1	0.000101
956d0a6f5a8e1d2fbb39df909cc14894	1	0.18801600000000002
9584fe0b6843a9817e1c217bb65caea8	1	0.01706
958bc15b660bce0b894665d13f910f5b	1	0.00015
9590aed21545774c71a124f2b5200691	1	0.036384
959a178855242ad3833af85d38ccff45	1	0.00015
95f07780b7e9b8b504c2563e63950663	1	0.00015
9616cf56be891f816aa7abc6a13c9e8f	1	0.000101
96a7dbb0e2c57e289c05b82e2db880be	1	0.00543
97e0a84031c426df75af82aeff951f26	1	0.00015
997056ba80681bbbdd5d09aa591eadc0	1	0.035012
99e6b8fa779ca2689cdc55d164e593e8	1	0.000101
9abbfb135a6fceeb2ae107b7be7cb133	1	0.035792000000000004
9acad60e1ad588fb9250aab68dee645d	4	0.034562999999999997
9af77e369d2ba4b3bb6e0e808ed84d91	6	0.00015
9b0549bb6e63f681bf133d2c7996055d	1	0.036385
9b07cccc73bd232ffb6edb9427194c06	1	0.035595999999999996
9b959f65abdb6cb9adc1d6160a5384ec	4	0.00015
9c6b4f83513e63a49ce33a8aeb1813ad	1	0.119776
9d3ec96491b522546acbdfa3b21b6071	1	0.026708999999999997
9da7a39de7e82006cc9533681adf765a	1	0.034899
9df911e407318b496425698999a1d81f	1	0.376458
9e1c6b703a4312cce306c7757688a351	3	0.039174
9f1913b781d2cde1c8a4c57b7dc2ab83	4	0.00015
9f4cdae8a020a8d9c4f54e5abf5a5769	4	0.204875
9f718b8f66b79c3de80546ca9a54539c	1	0.000101
a03aa6a23dc8f296567452ec2242a5fd	1	0.032538
a049763053c277b16c2a318f41eb23b4	2	0.00015
a0b0961c7ba318abff3e5a93f09f495e	1	0.325842
a1b971c01ce0b220275c218adbe717c1	1	0.000101
a4c08e2c3a34038ea877b16d01736837	1	0.12459300000000001
a5185df881810390f29afa3ba3ccf522	1	0.017769999999999998
a54095a893fd5abc045d162bbe20644a	1	0.035943
a5551fc60aa8bbaab737487552ea2a75	1	0.215486
a5df9a825c3d8eeb228a6781c3db134c	1	0.166874
a621ed0faf5f6d7f3ad8f5e66cd41faf	1	0.000101
a659784c026bd9c8cde94da36aa656d7	1	0.00015
a70441600c181b747a763ce5a7414a3f	1	0.226885
a826883ed572461c97a23561f7ecea3c	1	0.017234
a841dd7e2f38b26bb7bb37179b4141d5	1	0.146404
a875cba4e2e4da128cec805cd014731f	3	0.00015
a895b66cac813ac67ce1c908259b646f	5	0.034974
aa24dbd408e5d69c6b0d62846145a244	1	0.311694
aa668eb01ca9dcc59aeb1454b600c8c8	1	0.266989
aa9f89f9af07d53e077462471423f3ab	1	0.00015
aadef7fba5a0754fb631409c11fb331f	1	0.00015
ab4ef4399912b0507d8d1187e874684d	5	0.017651
ab6b063ed43d8cb3008e157a0a305c47	1	0.00015
ac809fd715cced98911f73f1dfb1ffb9	1	0.00015
acba6a53153faccd2c02a9c0e8a2d941	1	0.000101
acfe4c003905a7074aeaf385b78ad9e0	1	0.045239
ad41fe8f8be5b01c96549309937e3b14	1	0.00015
ae27459b7f5465815b1f565d792083ce	1	0.00015
ae881162d813e498f40bf33b8e42d54a	5	0.097867
aee707afe3847427a6d3d34e31437923	1	0.00015
afe1db00b504f44fb8dce4e8affc7432	1	0.037307
b00d44992702bd3743d7f353638d42f9	1	0.000101
b0ca0d2568c23c26c6704017eae471e1	1	0.000101
b0f7e29de400c6b517b39230dc1b4365	1	0.111381
b1141c1ab18997c3339e8229e0b9f41a	1	0.081439
b1e22f094d8c64fb56dbacf680dab8c9	1	0.043062
b1e686a5c5f127a8b92de2863503a9e5	1	0.029788
b2866fdca13681232057e3e85a1978cf	1	0.00015
b3406cb10b6d6882837eaacbaec3553e	1	0.722238
b383ade799e9c83c649cec37705a251d	1	0.115752
b3d4d129c955517b446df657236ba5a2	1	0.215486
b428acd97e6af974db1b053a2bc2b5c8	1	0.00015
b44621e5c80607cdfacbf7a81e1cbe41	5	0.000102
b46e36edac9cab660cec7ee6f1a335a3	1	0.13681
b5bf6383b53e0add0d6589b73949462a	1	0.000101
b685f8246fb6fad0fd91574c444b8f51	1	0.000101
b815913c61abb4a540babe5c3fae17e7	1	0.000101
b8329e527429f07e08f04ecf93563779	6	0.00015
b8afb7bb30b7a9170b7c6dcd40251d54	1	0.194127
b8b19c4f0719a5d5b965a0f50f05827c	1	0.00015
b92e89d105e0a6e09e5984879c4c7809	1	0.01785
ba0941f03086680ee946a10dfe90cf12	1	0.017807
bb173654871d294466912ef22f685faa	3	0.00015
bb370945a6777f712cfd963c55f2ff54	1	0.163323
bb823ca6d961133b2cd91e9377cefba7	4	0.000101
bd6af02d6f593fdaa7a70d6595f07fd6	6	0.000101
bf6066f701b31c6bba541503797da013	1	0.00015
bfbed36e63b69fec4627424163d20118	1	0.00015
bfbf3b84b315e741c4345ebb43e2b9cc	1	0.000101
bfdc8d2e7693336b4f3781920d3fa253	1	13.618751999999999
c04b03fdea7f81c8c52fc540c50a24a4	1	0.25593
c18826df5af5da174f580164c805a38a	1	0.000101
c1dedbc2ee20ed310022b9a1976d56c4	1	0.017253
c2562f279f2b32428e71ef8e8e1cd3d8	1	0.017599
c4aad64f84f51ff331b986a67af4ed3d	1	0.000101
c4f955168102011d272b685aa772c10a	2	0.00015
c57b70d65a63c4bf9f12c179c2416839	1	0.166433
c5b61a414bdb4305544bb4f941e0bfc9	6	0.085513
c5dfb8aa2b481cb89e2602fc20941587	1	0.000101
c66348656c079cbbc916b2c2832f311b	2	0.00015
c7ec57695a6d83b461eba523752755ec	1	0.147319
c81e310dae79b8767597762a093082c8	1	0.00015
c99439f78b73ffcf55858ae828aac608	1	0.081423
c9f68eb27669d95f1e365fc085b51ee6	1	0.082345
ca96b8fd01aa6c508305bacac37da6c2	1	0.279025
cb2fe0146e2fbcb101050edb996a0ee2	1	0.000101
cba5f5b1153235425628bd77a28257c7	1	0.45823500000000006
cbb7ea319a7633cf0917c6e5cde0e923	1	0.228435
cbc2f795edfaebaf35d10b85062b426d	2	0.00015
cdd14cce4ec44b3235923652b71e947e	5	0.000101
ce0a68ef210192a51f60ec3eb8e3e92e	1	0.000101
ce1d8d111ba2aaec28d68a04e483bf3f	1	0.00015
ce4665831b153f078e92078e40d3e233	1	0.0024690000000000003
cfe4948493ea1b183b006512be10924a	1	0.33224499999999996
d057c881d931baa475ee3d5e12c18610	1	0.017305
d1d750ce3b00503c204516d27ca0d3b0	1	0.00015
d2613a43f4ed1dda8a673e7fb251ebef	1	0.00015
d29fe3c70564fc0f69f2c03e0d1e5561	3	0.000101
d329ff7ff76454d2282c9f01c2798588	3	0.000103
d32d15407d86a2044eead0d72cd3f9e7	1	0.203624
d3e265209c342d15d93a910e38ad9be2	1	0.206746
d3f59bdb915bb43f2ecd96ad9296ae92	1	0.055351
d51cd90e95b57acb614698dc580759fb	1	0.000101
d781fa7e866ac295ce9a56bd97912983	1	0.064209
d86ef5d6394f5dbeb945f39aa25e7426	1	0.280742
d8db52dac1023a8fa0e56e92670d7ac1	1	0.562833
d8e8459398f3f096775f4298666880a7	1	0.405829
d8f7f446987e67092b6256c10b1ee69e	1	0.000102
d9095748835ade1b8914c5f57b6acbcf	1	0.08332200000000001
d985172bebaa0bbe61ff5f682d372c6e	1	0.00015
da247df6fe91b74bf38d3ecc1c05b4b0	1	0.000101
da36821195d462457b39c41aeb611ba1	2	0.000101
dab4d3e6078cfc510502a47c98e82081	1	0.017555
db793caa585e078770021a7979ae8ea2	5	0.000101
dc7d3610c77e7c118082f25002f26cd4	1	0.183345
dd222108ed685d6a936d2011ea220998	1	0.07358200000000001
dd29d5734196dc92232bafc6fef0c2a1	1	0.000101
dd7e1e45831871f719cc3cd68f568e7c	1	0.000101
de391a8294254c47e8f460325eea85f8	1	0.087938
e0472171de6fa02a1f58e392ad3d000e	1	0.009027
e063d1c3c9daf7390e5475e48d9b01c5	1	0.00015
e0f1938338e6f9b8cf8408e672ee6cd1	1	0.000101
e24c7656a7fe295f8ec65753725c9749	1	0.000101
e2c355360209f0b71b70b85ed0f9532d	1	0.070515
e2cbf79a06f1221cf49d1bef8e5db9cd	1	0.018082
e2f0caba18b002ca9762ed56167c6188	1	0.017655
e31b5affbe5e23b79a8619589f3b6620	1	0.016993
e4345d97f5fcb6d20150168d799cf7cf	1	0.01735
e5c80b4a23b96b2fa35b6da6cac2bf73	1	0.00015
e737a3a864791ec52f1398d83786f4f2	2	0.147803
e73fc2655e1cca4a2b1c419da3630c72	1	0.000101
e77bac543df42865af751a32a2942fdb	1	0.00015
e7a3af060bcc6686986ddfdf5536fac8	2	0.00015
e7c8b8c8fced8eead4b767bffe6dd544	4	0.034637
e80d9134b601511a2702b54268b57249	1	0.300487
e8e6b7fc969005938de8ac7ffb94f17c	1	0.00015
e8fb2b3d01d369dbb5d3764548193ae9	3	0.00015
e9f0399c43aff643ceb1480929cf89b2	2	0.00015
ebd1dcd162acede67bb633c42c7b2ac2	1	0.220638
ebe0e9790089ad4f40151cb4a3231a8f	1	0.00015
ecbf086d6ccbe5e8c2a69d0afb144662	1	0.000101
ecf9eb9fa3970ff27a221e626395c75d	1	20.738549
ed75725613954c459019eec50b431f9f	3	0.133046
ed950935b660fb10449d5f229dc13fb9	1	0.287184
edacf632dcadc21c328669befafe2af6	1	0.24422399999999997
ee0fb26fca3afb05e0b288d6fcab899e	5	0.000101
ee36a3eb8110ab27b0f3a72c5071d552	3	0.00015
ee7ce85e38500b28d9d79b63c7fbf9a6	1	0.070756
eecc4a4317225eb579540e82ab785716	1	0.00015
f023384b8f989d014dd2ead7f10db307	1	0.07257899999999999
f094a383692eb30761eb3d5c93240236	1	0.017292
f0e16b2961cac3985938413cea00eb14	1	0.09685099999999999
f16a387e898dbae6432b2ed0241120bd	1	0.14926099999999998
f3194c2eb241f821239009ca55dbb30c	5	0.05525
f32674aec6d3fa6a7aa2323cb35699fc	1	0.127274
f352c1f1efecf483511c2270aabd0ae6	3	0.000101
f35ce9c514e1398308f5f84ed50b260f	1	0.303223
f4eefbd4edf2a372131825289fffcca6	2	0.000101
f59a4d48a03cc224462bf83e4d4ab126	1	0.00015
f59aa47df669ef50955ce1a0512d3abf	1	0.061467999999999995
f5a8a3c7e17b300cd9ed30a6321df5cc	1	0.09241
f66effc279917d65747b7c3ef8d62432	1	0.218058
f7a8c8f87af98f9c5f479beaadc0b892	1	0.00015
f8026fa73c97b3f69cf4369cf194fb8b	1	0.00015
f8753b9f13abb306b57aedce2cf6e7d0	2	0.00015
f8a71161ac98c5ceafcc75e57ace7230	1	17.879773999999998
f8f937eeee7762f446a0e87292f98eb6	8	0.00015
f8fe4ee0ae3da9a1432872f5545a0d42	1	0.000101
f91c81859bf6eede55eef9c915dd8bab	1	0.067629
f99678fdc17d27a97c79faac3f2980a4	1	0.03539
f9bc8716f02b0a22f03b1a686895aae1	1	22.372467
faf2bd479f04891ef2afba2f407749ac	1	0.000101
fb4f7d9d3f91ac2f22a542fbd13019c1	1	0.282921
fba3d9b3872ff9021d66434323fb9565	1	0.00015
fbf110ef5de76f86121c8504a0cb786e	1	0.220638
