function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	4097.58	5022.61	5365.8	3916.45	4243.52	4696.68	3931.66	3040.84	2024.9700000000007	2125.32	4104.219999999998	1736.7099999999996	1881.48	678.8000000000002	1512.5000000000002	1887.9400000000005	412.08	705.6899999999998	548.4699999999998	1141.61	642.34	921.22	5273.669999999999	5366.64	5084.299999999998	1081.96	690.76	1048.77	868.66	1008.2	688.6099999999999	2780.9700000000007	2274.54	3684.45
1.1.1.136-RXN	15.0	58.4	79.4	55.0	61.4	5.0	3.4	6.0	25.47	16.16	9.239999999999998	24.69	165.93	25.4	26.83	44.07	0.0	4.8	5.07	3.69	5.2	8.8	90.4	96.4	213.59	0.0	76.6	22.4	74.6	87.8	61.0	549.4	284.7999999999999	208.8
1.1.1.215-RXN	20.0	48.0	2.0	0.0	4.0	0.0	124.0	173.0	597.0	90.6	1088.37	149.75	121.0	18.38	204.85	26.6	32.0	209.2	16.0	241.33	107.75	11.0	555.75	370.47	199.48	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.1.220-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	3.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	13.0	8.0	6.0	17.0	29.0	15.0	4.0	56.0	23.0	92.0
1.1.1.251-RXN	20.0	44.0	2.0	0.0	4.0	0.0	124.0	173.0	4.0	22.0	20.0	14.0	2.0	0.0	8.0	0.0	32.0	0.0	2.0	12.0	0.0	6.0	64.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	26.0	10.0	216.0	3.0	0.0	4.0	4.0	0.0	21.0	2.0	5.0	73.0	0.0	32.0	19.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	209.0	127.4	290.4	170.0	156.4	233.0	168.0	118.0	17.34	27.34	4.0	11.0	0.0	19.0	8.66	18.66	3.0	4.0	6.66	9.34	0.0	25.8	61.66	14.66	107.5	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.4	0.0
1.1.1.264-RXN	0.0	36.0	7.0	22.0	11.0	0.0	0.0	2.0	46.7	27.8	13.2	26.67	0.0	2.2	0.4	4.2	0.0	15.4	8.2	15.7	2.87	8.0	38.4	29.0	65.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	1629.4900000000002	4642.65	4345.4	2635.58	2806.65	1922.75	1639.5700000000004	2215.45	118.64	244.86	2277.88	319.36	359.25	92.4	467.42	467.33	332.11	70.0	16.14	553.22	231.0	822.55	1230.48	986.25	853.4499999999998	416.14	108.5	599.5	164.0	400.5	106.0	295.55	268.15	1974.75
1.1.1.289-RXN	15.0	47.0	17.0	19.0	10.0	27.0	24.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.291-RXN	0.0	36.0	7.0	22.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.25	8.75	0.0	1.38	0.6	0.6	0.0	0.0	0.0	0.0	3.25	0.0	0.5	0.0	12.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.5	0.0	0.0	0.0	25.0	0.0	0.0	2.0	0.0	1.25	0.0	5.0	74.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1.1.1.39-RXN	1591.9	1386.56	1556.3	1331.02	1601.22	2062.54	1661.45	1125.55	884.9299999999997	615.74	276.86	441.49	552.9300000000002	351.07	373.9	628.87	141.0	328.4000000000001	209.5	137.24	170.7	252.5	1837.19	1099.96	2593.83	430.12	193.1	291.1	263.77	280.3	206.0	1006.77	781.15	825.4699999999998
1.1.1.43-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	13.0	991.25	30.75	0.0	13.38	201.0	2.0	0.0	3.0	0.0	224.0	65.25	0.0	493.5	8.0	87.75	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.1.53-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	2.0	131.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.83-RXN	27.0	52.0	15.0	3.0	7.0	24.0	154.0	206.0	598.4	95.2	1018.25	181.75	122.0	25.38	213.2	170.7	38.0	199.0	19.0	247.0	113.25	11.0	603.67	815.66	322.95	0.0	0.0	0.0	5.0	0.0	2.0	16.0	2.0	2.0
1.1.3.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.5	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1087.0	95.0	1033.25	91.75	36.0	18.38	204.0	8.0	0.0	367.0	19.0	231.0	85.25	0.0	537.5	42.14	171.75	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.99.28-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	6.0	58.0	0.0	8.0	2.0	9.0	0.0	0.0	2.0	2.0	19.0	0.0	7.0	434.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.10.2.2-RXN	1.0	4.0	0.0	0.0	0.0	0.0	0.4	0.0	189.40000000000003	119.86	1103.47	388.73	287.6	37.78	237.86	260.79999999999995	0.0	46.2	31.0	263.98	183.45	5.0	657.4	742.33	619.1399999999999	10.2	82.6	29.6	107.6	92.8	67.0	607.6	305.4	302.8
1.11.1.15-RXN	5095.8	9933.76	9428.08	6391.58	6458.919999999999	5991.8	5118.830000000001	6255.83	5294.97	4550.5999999999985	6029.33	2953.5599999999995	3378.6399999999994	1473.0399999999993	2751.28	3760.13	946.0	1876.91	1214.1799999999996	1694.6	1125.8300000000004	1796.8200000000004	10129.69	9493.15	11021.2	2249.2200000000007	1030.62	2102.51	1453.67	2065.54	1190.47	3892.0	4068.88	7717.4000000000015
1.12.1.3-RXN	5178.71	6607.07	6120.57	4267.82	4057.14	5553.8899999999985	5111.96	5324.64	286.42	154.42000000000004	186.3	188.6	108.99	235.0	160.38	291.2999999999999	745.18	58.0	51.08	75.86	38.0	1237.0	544.29	427.75	1721.62	10.24	21.0	33.0	29.17	60.0	9.0	89.17	157.0	155.0
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	46.0	10.0	14.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	44.0	26.0	16.0	12.0	34.0	58.0	30.0	8.0	112.0	46.0	184.0
1.13.11.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	35.0	995.0	40.0	0.0	12.0	201.0	2.0	0.0	3.0	2.0	224.0	67.0	0.0	501.0	35.0	92.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.13.11.16-RXN	40.0	88.0	4.0	0.0	8.0	0.0	248.0	344.0	12.0	33.6	4.0	17.0	4.0	0.0	0.6	0.6	64.0	2.2	2.0	0.0	0.0	12.0	14.0	0.0	28.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.49-RXN	0.0	1.5	6.0	3.0	0.0	0.0	0.0	0.0	641.7	831.38	105.15	116.5	342.5	242.54	329.65	274.1	0.0	274.23	264.7	65.2	24.28	0.0	1518.36	808.9200000000002	1513.33	244.0	110.0	214.0	162.0	126.0	145.0	306.0	358.0	390.0
1.13.11.6-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	104.0	121.0	0.0	5.0	6.0	0.0	0.0	2.0	9.0	9.0	34.0	0.0	4.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7	24.6	996.0	36.0	0.0	13.0	201.6	4.6	0.0	6.0	4.0	224.5	64.0	0.0	495.0	37.0	93.6	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.14.11.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	26.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.18-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.43	7.96	20.04	0.0	1.38	0.43	0.0	0.0	0.0	0.0	2.29	10.25	0.0	11.5	0.0	27.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.2-RXN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	45.2	32.6	27.12	122.0	100.0	32.0	8.85	20.6	0.0	12.0	8.0	12.0	32.5	5.0	47.25	459.33	178.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.12.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	26.0	2234.0	81.0	0.0	26.0	405.0	32.0	0.0	10.0	0.0	478.0	130.0	0.0	1054.34	36.0	167.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
1.14.13.59-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0	47.86	67.42	19.08	19.0	6.0	2.86	2.0	0.0	187.0	7.0	8.91	11.0	0.0	21.5	2.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.84-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.19.1-RXN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1306.0	184.03	429.21	626.79	152.0	59.76	97.03	164.6	0.0	512.2	17.0	164.28	294.5	5.0	415.16	759.0	795.75	422.0	0.0	0.0	13.0	16.0	0.0	17.0	7.0	26.0
1.14.19.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	664.5	424.3	142.45	252.75	20.0	25.58	28.9	23.7	0.0	238.1	88.7	24.03	85.7	0.0	150.39999999999995	501.25	206.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.15.1.2-RXN	1459.0	1320.66	1329.5	1100.32	1262.3200000000004	1683.84	1336.0	751.0	241.84000000000003	302.33	114.5	105.17	407.33	138.0	160.67000000000004	505.7600000000001	96.0	57.0	75.67	56.5	17.5	253.0	548.0	585.16	1153.5	245.5	164.0	768.0	238.0	470.0	135.0	459.5	400.0	1578.67
1.17.1.1-RXN	23.0	8.0	0.0	52.0	28.0	82.0	51.4	0.0	85.39999999999998	83.42999999999998	1138.76	150.44	367.6	25.78	228.43	178.8	0.0	27.2	21.0	248.69	102.45	10.0	621.4	606.33	229.61	2.2	76.6	12.6	77.6	77.8	63.0	551.6	284.4	212.8
1.17.4.2-RXN	3930.79	6719.19	6727.8	4675.530000000002	5495.6799999999985	5113.56	4157.57	3486.98	723.79	1277.0599999999995	384.43	547.38	1626.7799999999993	569.78	720.93	1576.2800000000002	480.18	154.76000000000005	350.2100000000001	232.71	128.44	1213.89	3016.7700000000004	3358.76	3306.88	749.55	502.89	1084.5700000000004	765.1300000000001	1246.93	568.9399999999998	2082.44	2252.41	3809.13
1.17.99.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	1.42	0.58	0.0	3.0	5.86	0.0	0.0	0.0	0.0	0.58	0.0	0.0	6.0	0.0	14.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.18.1.2-RXN	1643.4	1467.06	1910.88	1782.6899999999996	1851.2200000000007	2109.54	1670.1	1043.8	2424.9	1760.4	2520.57	1078.93	690.7	286.72	885.3	864.67	143.0	879.03	437.85	664.66	471.93	283.75	2868.120000000001	1740.14	2647.95	394.9	216.7	95.7	260.7	204.1	227.0	1334.7	838.55	584.85
1.2.1.2-RXN	388.0	704.0	166.66	400.0	283.0	391.0	725.5	952.16	924.81	1085.75	425.91	555.3399999999998	830.33	536.04	751.4300000000002	1091.71	183.66	348.32	362.67	197.92	113.91	169.0	3086.76	2961.13	3435.54	211.67	192.66	213.34	338.0100000000001	248.34	177.66	746.33	617.3399999999998	1184.0
1.2.1.27-RXN	3.0	40.33	9.83	26.16	29.16	10.17	7.0	4.83	2415.67	627.53	4245.7	675.54	344.5	129.73	876.36	224.93	0.33	840.36	144.82999999999996	969.63	478.66	13.0	2427.17	1381.21	1425.68	300.5	64.33	49.67	67.67	65.67	82.83	198.83	184.67	88.0
1.2.1.32-RXN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	65.0	39.0	100.0	0.0	2.0	6.0	0.0	2.0	9.0	6.0	6.0	5.0	2.0	291.33	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.45-RXN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4	1.2	3.0	12.0	100.0	0.0	1.2	15.2	0.0	7.0	0.0	3.0	2.0	5.0	12.0	69.0	11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.0	613.33	52.33	72.0	134.5	60.34	138.0	60.4	0.0	224.33	150.5	33.0	15.58	0.0	469.71	291.42	541.8299999999998	147.0	47.0	29.0	63.0	19.0	80.0	81.0	173.0	27.0
1.2.1.9-RXN	1.0	0.33	2.8	1.56	14.16	3.57	0.0	4.6	101.2	86.28999999999998	1148.01	113.78	53.6	35.4	222.38	91.3	0.4	13.4	10.82	244.6	88.3	0.0	613.5500000000002	118.2	430.14	6.4	14.8	14.0	20.6	17.8	11.2	48.2	55.6	74.8
1.2.3.3-RXN	0.0	0.0	2.67	3.0	0.0	0.0	0.0	0.0	149.82999999999996	452.02	85.49	80.67	133.75	266.34000000000003	312.33	202.83	0.67	48.0	165.68	49.33	16.33	0.67	1532.75	810.0	1320.75	131.42000000000002	79.33	54.0	105.92	80.83	63.58	84.17	236.92	145.32999999999996
1.2.4.4-RXN	649.74	2552.0	2210.25	1307.16	1378.5	790.66	620.4	1402.34	159.5	360.5	2419.24	430.3	33.0	423.0	773.5	162.0	194.0	84.0	210.0	542.0	205.0	453.75	3020.5	1511.41	2620.18	19.0	5.0	16.0	18.0	10.0	8.0	63.0	23.0	22.0
1.2.7.4-RXN	178.9	126.06	97.3	62.52	106.72	311.54	196.05	142.05	30.0	52.0	1.5	14.0	224.0	2.0	14.0	183.5	20.0	3.0	8.0	25.0	0.0	31.5	115.0	219.5	42.0	99.0	63.0	189.0	97.0	108.0	74.0	256.0	220.0	425.0
1.2.7.5-RXN	76.0	70.0	20.0	88.0	57.0	108.0	69.0	45.0	4.0	4.0	3.0	6.0	0.0	0.0	5.0	120.0	12.0	0.0	0.0	3.0	0.0	16.0	23.5	88.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0
1.2.7.8-RXN	2399.2200000000007	6225.3	5794.46	4118.34	4087.8	3318.42	2418.2200000000007	3396.78	107.54	111.25	70.37	295.87	111.5	67.25999999999999	34.980000000000004	322.78	522.36	27.5	27.14	38.3	90.5	1123.1	244.41	1118.16	454.5	1.14	6.0	20.0	18.0	4.0	4.0	26.6	18.8	46.0
1.2.99.7-RXN	93.0	115.0	39.0	65.0	44.0	142.0	53.0	64.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.20.1.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.21.4.1-RXN	25.0	57.5	35.0	17.5	122.5	100.0	73.75	8.75	60.0	164.0	22.5	52.5	211.75	5.0	90.0	112.0	2.5	0.0	50.0	27.5	22.5	2.5	426.5	553.0	113.5	145.0	104.0	112.0	126.0	194.0	84.0	242.75	192.0	81.5
1.21.4.4-RXN	32.0	212.5	74.0	100.5	77.5	94.0	104.75	140.75	59.01000000000001	35.99	15.49	16.5	84.99	34.0	30.0	195.51	18.5	16.0	14.01	2.5	6.5	44.5	124.5	217.5	329.49	13.5	7.5	17.5	22.5	38.5	12.0	92.5	105.75	104.25
1.3.1.20-RXN	2.0	0.0	0.0	3.0	4.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	570.8	56.0	93.0	108.0	19.0	0.0	0.0	2.0	0.0	191.2	18.0	19.0	45.0	0.0	54.67	2.0	51.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.5	0.0	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.54-RXN	228.8	510.3	429.1	263.4	243.8	609.4	304.35	565.35	240.67	497.84	1186.39	258.13	735.0	99.7	290.23	485.85	74.0	111.4	101.68	295.87	159.7	76.5	960.18	541.86	979.06	435.75	98.0	286.0	259.0	544.0	210.0	798.0	997.0	933.95
1.3.1.56-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.62-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	582.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.64-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	63.0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.9-RXN	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
1.3.7.5-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	4.0	74.0	79.0	4.0	26.0	26.0	4.0	0.0	50.0	0.0	27.0	68.0	0.0	114.0	22.0	297.0	211.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
1.3.99.16-RXN	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	117.29	2176.63	274.37	600.0	60.28	410.29	79.0	0.0	56.0	16.0	501.87	197.5	30.0	1136.0	4194.0	559.08	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
1.3.99.23-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	11.0	38.0	10.0	14.0	5.0	2.0	190.5	0.0	2.0	0.0	5.0	4.0	0.0	23.6	150.8	13.0	1.0	0.0	4.0	6.0	6.0	1.0	60.5	59.0	546.0
1.3.99.5-RXN	1054.11	2731.65	2608.4	1611.0	1626.4	1135.71	1013.86	1484.64	1.4	16.6	7.47	21.4	3.0	23.17	4.38	0.29	225.68	0.0	5.24	4.8599999999999985	4.0	488.55	18.12	1.5	40.12	0.57	3.0	0.0	2.5	0.0	2.0	3.3	0.4	3.0
1.4.1.11-RXN	59.0	157.5	70.33	95.17	58.5	83.5	75.5	143.0	37.6	41.65	30.0	65.25	491.0	17.0	3.4	111.55	12.0	2.0	3.0	2.0	13.0	36.0	38.95	106.2	290.25	124.75	31.0	86.0	150.0	415.0	138.0	519.0	757.0	485.95
1.4.1.21-RXN	797.71	2533.25	2042.25	1216.75	1379.5	1158.71	1036.71	1567.14	9.77	25.03	9.14	10.43	3.0	14.0	1.31	0.8899999999999999	240.43	2.0	11.57	3.86	4.0	453.75	9.29	0.25	10.89	0.57	3.0	0.0	2.0	0.0	2.0	2.0	0.0	3.0
1.4.3.19-RXN	1.0	4.0	2.0	3.0	0.0	0.0	0.4	0.0	865.5699999999998	689.05	1187.4500000000005	256.40000000000003	405.1	240.44	456.98	175.73	0.0	314.13	239.03	292.6	125.48	5.0	1839.09	1021.08	1702.63	149.2	123.6	41.6	137.6	98.8	143.0	618.6	451.4	235.8
1.4.3.20-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.4.99.5-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.20-RXN	2490.390000000001	5516.879999999999	5255.33	3421.76	4044.96	3220.52	2679.2700000000004	2973.68	2078.01	1384.4099999999994	1655.28	958.87	1427.9499999999996	290.49999999999994	636.4499999999998	968.24	425.51	721.6899999999998	275.17	505.71	384.44	989.22	2276.4	2936.12	2185.28	829.91	408.56	795.77	616.79	1004.6	460.61	1667.1	1813.74	2184.13
1.5.1.24-RXN	0.0	7.0	1.0	0.0	0.0	0.0	0.0	12.0	0.83	16.17	0.33	2.17	0.0	8.17	3.67	0.0	0.0	0.0	4.67	0.0	0.0	0.0	12.83	0.5	29.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.28-RXN	7.0	103.0	107.0	182.0	75.0	6.0	5.0	5.0	572.0	155.0	58.0	46.0	20.0	181.0	176.0	98.0	0.5	207.0	103.0	26.0	9.0	22.0	979.0	603.3299999999998	972.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
1.5.1.34-RXN	121.34	44.0	4.0	54.66	32.0	94.66	177.0	400.34	583.8	98.0	77.0	129.0	44.0	2.0	5.0	62.0	44.0	198.2	19.0	28.33	34.0	6.0	74.6	117.8	98.13	0.0	3.0	0.0	4.0	5.0	14.0	28.0	19.0	28.0
1.5.1.7-RXN	2336.6800000000007	3498.88	3406.7000000000007	2303.86	2711.46	2501.91	2042.66	1941.11	113.24	320.35	84.07	100.76	323.0	94.4	123.71	614.87	280.35	12.0	49.9	57.69	27.33	648.2199999999998	503.02	963.5	290.82	259.74	139.32999999999998	637.0	216.17	434.33	126.33	364.47	398.07	2155.33
1.5.1.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	114.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	47.0	0.0	7.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.5.1-RXN	1.0	4.0	0.0	0.0	0.0	0.0	0.4	0.0	756.1999999999998	201.43	2114.76	503.44	283.6	51.78	436.43	237.8	0.0	243.4	41.0	478.02	266.45	5.0	1169.4	732.33	672.41	2.2	76.6	12.6	80.6	77.8	65.0	551.6	280.4	210.8
1.5.8.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	26.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.8.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	26.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.6.4.4-RXN	1302.7800000000002	3026.65	2745.89	1862.67	1773.4	1432.04	1499.2600000000002	2221.14	1535.74	647.75	2624.38	1224.1600000000005	835.0999999999998	119.39	563.36	790.77	351.01	515.4599999999998	102.9	660.42	502.53	548.55	1675.8600000000006	2372.71	1344.09	283.77	254.93	657.27	305.77	538.47	233.83	992.23	769.4699999999998	2476.8
1.7.2.2-RXN	1441.4	2111.25	1492.58	1034.5	503.5	1611.0	1419.15	2587.33	48.5	180.83	48.5	145.47000000000003	381.5	45.83	71.0	478.25	410.58	7.66	20.0	44.17	28.83	390.0	245.77	696.05	258.5	270.0	172.32999999999996	627.67	184.17	438.67	148.82999999999996	346.8300000000001	434.67	2111.0
1.7.2.3-RXN	106.0	88.0	4.0	156.0	92.0	246.0	401.0	342.0	26.84	47.5	23.66	95.68	94.0	14.66	15.66	138.0	64.0	2.66	9.0	12.5	24.0	12.0	17.84	78.0	78.34	32.0	24.0	68.0	116.0	60.0	16.0	224.0	92.0	368.0
1.7.7.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	9.0	227.0	92.0	4.0	31.0	35.0	4.0	0.0	50.0	0.0	46.0	70.0	0.0	124.0	22.0	325.0	211.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
